"Authors","Author full names","Author(s) ID","Title","Year","Source title","DOI","Link","Abstract"
"Agina S.; Momeni Rad F.; El-Basyouny K.","Agina, Samaa (57355267500); Momeni Rad, Faeze (58772868300); El-Basyouny, Karim (14832701400)","57355267500; 58772868300; 14832701400","Linking Deployment Outcomes to Program Impacts for Mobile Photo Enforcement","2023","Safety","10.3390/safety9040088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180181606&doi=10.3390%2fsafety9040088&partnerID=40&md5=4d85068878d4135c759b4a9cacdb0700","Previous research has delved into the effectiveness of Mobile Photo Enforcement (MPE) in curbing speed violations and enhancing road safety. This present study extends this investigation to explore the potential influence of MPE deployment efforts on subsequent collision occurrences. Specifically, the research team applied survival analysis techniques to examine the connection between MPE deployment variables and the duration between collisions. K-M survival estimates were employed to assess the survivability of classified groups, categorized based on deployment hours, visits, the ratio of hours to visits, and traffic count. The findings illuminated that the ratio of hours to visits emerged as the most impactful variable in prolonging the time interval between collisions and diminishing the likelihood of collisions. Notably, the anticipated reduction in collision hazards, signifying the occurrence of collisions, exhibited variations ranging from 22% to 52%. The most substantial decreases were observed when deployment occurred in high-traffic locations. These outcomes reinforce the positive impact of deployed MPE hours and visits in extending the duration between consecutive collisions, thus reducing the risk of collision occurrences. © 2023 by the authors."
"Ammar K.; Al-Emami A.; Baher A.","Ammar, Khalid (57213686839); Al-Emami, Abdullah (57245283200); Baher, Amir (57245189000)","57213686839; 57245283200; 57245189000","Real-time Vehicle Speed Enforcement System","2021","2021 10th Mediterranean Conference on Embedded Computing, MECO 2021","10.1109/MECO52532.2021.9460297","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114210216&doi=10.1109%2fMECO52532.2021.9460297&partnerID=40&md5=781bbb2f4c74b3c49823cca45718c3b6","Traffic injuries and deaths are important road traffic issues worldwide, road accidents are a major reason of death, killing around 1.24 million people yearly and leaving 20-50 million be distressed with injuries, traffic accidents are still considered the prime factor in cause of mortality between 5-14 years old children and among 15-29 years old young adults [1]. These numbers could have been reduced if the vehicles had been travelling at more appropriate speed. The most commonly reported factors linked to the severity of accidents and deaths are due to reckless speeding or drivers may drive within the speed limits, but they are not aware of the sudden changes on road condition that could affect their safety and the safety of other road users. In response to the needed speed limit enforcement to save lives, health, and economy, this work presents a system that helps to minimize the speed-related accidents. The system is remotely operated and instantly preventing vehicles from speeding. The traffic management authorities can enforce the optimum safe speed limit whenever and wherever necessary in real time while the vehicles are running on the roads. © 2021 IEEE."
"Carus L.; Mamaqi-Kapllani X.","Carus, Luis (35112742100); Mamaqi-Kapllani, Xhevrije (58180739900)","35112742100; 58180739900","Managing Accident Prevention in Ski Resorts: Participants’ Actual Velocities in Slow Zones","2023","International Journal of Environmental Research and Public Health","10.3390/ijerph20075302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152308085&doi=10.3390%2fijerph20075302&partnerID=40&md5=25880a6bc35fdc0811e62af4e9048f3e","Velocity is one of the main factors affecting the kinematic of snow sports’ accidents and the severity of resulting injuries. The aims of the present study were to measure the actual maximum velocities attained by a sample of snow sports participants in slow zones, to compare them to the recommended velocity limits and to assess whether their velocities were in any way related to their personal characteristics and to environmental conditions. Data were drawn from a sample of 1023 recreational skiers and snowboarders during the 2021–2022 winter season at four ski resorts located in the Spanish Pyrenees. Maximum velocity measurements were taken by the authors with a radar speed gun whose precision had been previously validated. Bivariate analysis tests were used to compare the influence that personal characteristics and environmental conditions had on the participants’ maximum velocities. Furthermore, a multivariate analysis was performed. The binary logistic regression was used to distinguish the categories of personal and environmental factors that have the highest probabilities of impact on different segments of velocity. As generally accepted, probability values were two-tailed, and values of 0.05 or less were regarded as statistically significant. Participants’ mean measured maximum velocity (±SD) was 51.61 (±16.14) km/h. A vast majority of the participants in this study traveled in slow zones at actual maximum velocities well over the recommended limits. Multivariate analysis showed that modality and both environmental conditions (visibility and snow quality) were highly significant and can be used to explain the chances of an increase in velocity in slow zones. Further research is needed to investigate causal relationships between skiers and snowboarders’ accidents, injuries and disrespect for velocity limits. © 2023 by the authors."
"Braden A.W.; Parker I.D.; Lopez R.R.; Silvy N.J.","Braden, Anthony W. (36725191700); Parker, Israel D. (8317638200); Lopez, Roel R. (7401490755); Silvy, Nova J. (56224776200)","36725191700; 8317638200; 7401490755; 56224776200","Temporal Movement Patterns Predict Collisions between Female Florida Key Deer and Vehicles on Big Pine Key, Florida","2020","Southeastern Naturalist","10.1656/058.019.0409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098078142&doi=10.1656%2f058.019.0409&partnerID=40&md5=94981382da4e5d8890750bed415acc0d","Deer-vehicle collisions (DVCs) are a critical cause of mortality for the endangered Odocoileus virginianus clavium (Florida Key Deer; hereafter Key Deer). Extensive research has focused on large-scale Key Deer movements throughout their range and the corresponding relationship to DVCs (e.g., dispersal of juvenile males south across US Highway 1 [US 1]). Far less data are available about the relationships among short-Term movement patterns (hourly and daily) of Key Deer, US 1 traffic patterns, and DVCs. We used global positioning system collars to track female Key Deer movements on short time scales on Big Pine Key in the Lower Florida Keys. We then cross-referenced this with US 1 traffic data and DVCs. We found a significant relationship between hourly female Key Deer movement and hourly DVCs throughout the 24-hour daily period (r = 0.505, P = 0.012). Hourly US 1 traffic patterns were significantly related to hourly DVCs only during night periods (r = 0.787, P = 0.012). This information will inform Key Deer management options such as variable timing of vehicle speed enforcement and warning lights along roadways. © 2020 Humboldt Field Research Institute. All rights reserved."
"Bujang; Rusdiana A.; Samsudin; Asmawi M.; Dlis F.; Abidin D.; Haqiyah A.","Bujang (57211409663); Rusdiana, Agus (57216643240); Samsudin (57221382426); Asmawi, Moch (57193788949); Dlis, Firmansyah (57210597274); Abidin, Dindin (57211405115); Haqiyah, Aridhotul (57217154890)","57211409663; 57216643240; 57221382426; 57193788949; 57210597274; 57211405115; 57217154890","The effect of core muscle fatigue on biomechanical parameters during jump serve in volleyball; [Efekat zamora mišića trupa na biomehaničke parametre tokom skok-servisa u odbojci]","2021","Sport Science","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112435069&partnerID=40&md5=306c793c3ff9ed0c594fcd04cea7d7e3","The purpose of study was to analyse the effect of core muscle fatigue on changes in kinematic parameters during jump serve in volleyball. In this study, the participants were sixteen experienced male volleyball player volunteers, with an average age, height and body weight of 24.6 ± 1.8 years, 1.85 ± 1.6m and 79.5 ± 3.5kg, respectively. This study utilised two high-resolution digital video cameras, a drone video camera, three-dimensional calibration, 3D motion analysis software, a lactate analyser, a heart rate monitoring system, and a radar speed gun. Meanwhile, the eight kinematic parameters analysed at the approach, plant and jump phases showed that the ball speed decreased significantly in the fatigue condition, compared to the non-fatigue counterpart. There was a significant difference in the jump phase duration, step length and jump height variables for the fatigue and non-fatigue conditions during the jump serve in volleyball. Furthermore, the six kinematic parameters analysed in the maximal shoulder external rotation phase showed that a significant difference in fatigue and non-fatigue conditions was found in the shoulder external rotation and backward trunk tilt parameters. Meanwhile, in the maximum angular velocity phase in the upper limb joint, during the jump serve, it was found that the shoulder internal rotation variable decreases significantly in the fatigue condition, compared to the non-fatigue counterpart. Additionally, in the trunk rotation and forward trunk tilt, a significant decrease in the upper limb joint maximum angular velocity was observed in the fatigue condition during the volleyball jump serve. © 2021, Drustvo Pedagoga Tjelesne i Zdravstvene Kulture. All rights reserved."
"Al-Haydari I.S.; Al-Taweel H.M.; Masood G.G.","Al-Haydari, I.S. (57201436542); Al-Taweel, H.M. (57209465182); Masood, G.G. (57209469693)","57201436542; 57209465182; 57209469693","Effect of demographic characteristics on spot speed variations","2023","AIP Conference Proceedings","10.1063/5.0148010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176749584&doi=10.1063%2f5.0148010&partnerID=40&md5=4d1ea4be3786540181face316e50cd5c","The speed characteristics are country-based due to variations in demographics, driver habits, attitudes, etc. Thereby, it is necessary to study the main parameters that affect the driving attitude to choose the safe speed. This paper provides an in-depth examination of the differences between two age groups, two weather conditions, three types of vehicle licences, whether the driver using their cell phones during driving, and real speed. The radar speed gun was used to measure infield spot speed in a divided 2-way, 4-lane arterial in Baghdad city, Iraq. Currently, no comparable data set exists in Iraq. The outputs of the study provide database for safety requirements to identify the drivers' response time to avoid certain crashes. The results revealed that drivers are different in terms of speed, age, vehicle licenses, under different weather conditions. For instance: the mean speed for young drivers is higher than that of elderly drivers. The mean speed of the truck drivers is lowest by approximately 25% as compared with private-cars and taxi drivers. The mean speed under sunny weather conditions is higher than on rainy days by approximately 8.5%. The distracted driver with cellphone drives at 24% lower speed as compared to non-distracted drivers. © 2023 Author(s)."
"Abdelhalim A.; Bailey L.; Dalphy E.; Raboy K.","Abdelhalim, Awad (57205540508); Bailey, Linda (57225928493); Dalphy, Emily (57225948192); Raboy, Kelli (57202038595)","57205540508; 57225928493; 57225948192; 57202038595","Data Enforced: An Exploratory Impact Analysis of Automated Speed Enforcement in the District of Columbia","2021","IEEE Conference on Intelligent Transportation Systems, Proceedings, ITSC","10.1109/ITSC48978.2021.9565046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118428926&doi=10.1109%2fITSC48978.2021.9565046&partnerID=40&md5=9bfa9df8d97770d4636fe22be5e829f9","In 2015, the District of Columbia framed a Vision Zero mission and action plan, with a target of achieving zero traffic fatalities by 2024. This study examines the impacts of Automated Speed Enforcement (ASE) and its role in achieving the goals of Vision Zero. Independent datasets containing detailed information about traffic crashes, ASE camera locations and citation records, and driving speeds across the District's streets were collected, combined, and analyzed to identify patterns and trends in crashes, speed limit violations, and speeding behavior before and after the ASE camera installation. The results of this exploratory analysis confirm the safety benefits of ASE systems in Washington, D.C. The study also provides a blueprint for the different means of evaluating the short-term impact of ASE systems using different data sources which can aid practitioners in better evaluating existing systems and support the decision making process regarding future installations. © 2021 IEEE."
"Aldossari M.; Bandara N.; Al-Werfalli D.","Aldossari, Mubarak (58506358100); Bandara, Nishantha (6602329527); Al-Werfalli, Daw (6507543612)","58506358100; 6602329527; 6507543612","Implications of Resistance to Automated Speed Enforcement and Red-Light Camera Implementation","2023","International Conference on Transportation and Development 2023: Transportation Safety and Emerging Technologies - Selected Papers from the International Conference on Transportation and Development 2023","10.1061/9780784484876.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165743792&doi=10.1061%2f9780784484876.001&partnerID=40&md5=920da211c3a03a8792e5bc6bc9d81c91","Automated speed cameras (ASE) and red-light cameras are highly effective tools for reducing overall car crashes. ASE and red-light cameras help reduce most crashes, such as fatal crashes, injury crashes, and property damage crashes worldwide. Millions of people die yearly because of car crashes, and many more are severely injured. Due to the high number of fatal and injury crashes, to reduce deaths, many countries across different continents in the world started enforcing ASE and red-light cameras to mitigate the number of crashes. ASE and red-light cameras are enormously effective measures to reduce the totality of crashes. Unfortunately, despite the proven efficacy, many states in the United States and worldwide prohibit using ASE. Some prohibit red-light and speed cameras, such as New Hampshire, South Carolina, Maine, West Virginia, and Texas. Certain states only prohibit red-light cameras, including Montana and South Dakota, and some states do not allow speed cameras, counting Wisconsin and New Jersey. This paper will examine the reasons behind prohibiting automated speed enforcement technology. Additionally, the study will collect and analyze data from the United States, Canada, and Saudi Arabia regarding the amount each country levies for penalties and fines for ASE violations. Some of the public believe that automated speed enforcement techniques are a method for the government to generate revenue. Others argue that the profits are used to educate the public about traffic safety rules and use it to improve the public infrastructure. This study aims to establish whether the funds from automated speed enforcement fines are used to educate the public and improve infrastructure. © ASCE."
"Thapa D.; Mishra S.; Khattak A.; Adeel M.","Thapa, Diwas (57222985465); Mishra, Sabyasachee (55090748200); Khattak, Asad (7005819292); Adeel, Muhammad (58775901400)","57222985465; 55090748200; 7005819292; 58775901400","Assessing driver behavior in work zones: A discretized duration approach to predict speeding","2024","Accident Analysis and Prevention","10.1016/j.aap.2023.107427","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180410676&doi=10.1016%2fj.aap.2023.107427&partnerID=40&md5=54486534f19224cb0f7345e26854335b","Higher speeds in work zones have been linked to an increased likelihood of crashes and more severe crash outcomes. To enhance safety, speed limits are often reduced in work zones, aiming to create a steady flow of traffic and safer traffic operations such as merging and flagging. However, this speed reduction can also lead to abrupt speed changes, resulting from sudden braking or acceleration, increasing the risk of crashes. This disruption in speed and flow results increases the likelihood of rear-end crashes. Ensuring driver compliance with the reduced speed limits and traffic flow operations is challenging as work zones may cause frustration and lead to more instances of speeding. Therefore, proactively predicting speeding events in work zones can be crucial for the safety of both workers and road users, as it enables the implementation of speed enforcement measures to maintain and improve driver compliance in advance. In this study, we employ the duration-based prediction framework to forecast speeding occurrences in work zones. The model is used to identify significant predictors of speeding including visibility, number of lanes, posted speed limit, segment length, coefficient of variation in speed, and travel time index. Among these variables, the number of lanes, posted speed limit, and coefficient of variation of speed are positively associated with speeding. On the other hand, visibility, segment length, and travel time index are negatively associated with speeding. Results show the model's predictive accuracy is higher for speeding events with shorter durations between consecutive occurrences. The model predicted speeding within 61% of the actual epoch when speeding events within 5 h of one another were considered for validation. This indicates that the model is more effective for road segments and work zones where speeding occurs more frequently. The prediction framework can be a great asset for agencies to improve work zone safety in real-time by enabling them to proactively implement effective work zone enforcement measures to control speeding and to stay prepared, preventing potential hazards. © 2023 Elsevier Ltd"
"Fang J.; Wang Z.; Xiong X.; Zheng Y.; Zhou F.","Fang, Jisong (57204624416); Wang, Zhu (57210561212); Xiong, Xun (57207459467); Zheng, Yuxuan (56130672200); Zhou, Fenghua (7401723419)","57204624416; 57210561212; 57207459467; 56130672200; 7401723419","Fragmentation Process of Quartz Glass Spheres Impacting Rigid Wall; [石英玻璃球撞击刚性壁的破碎过程]","2020","Gaoya Wuli Xuebao/Chinese Journal of High Pressure Physics","10.11858/gywlxb.20190764","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082341173&doi=10.11858%2fgywlxb.20190764&partnerID=40&md5=b40c3dff73be5f182e028b6a271c26d8","The high-speed gun is used to study the impact of quartz glass ball on rigid target plate. The crushing process and failure mode of the ball at different speeds are analyzed. When the impact velocity is lower than the critical failure velocity, the quartz glass ball rebounds from the target plate, and the rebounding speed is slightly below the original speed; when the critical speed is exceeded, the sphere exhibits a “compressed fracture zone-surface spalling zone-shear failure zone” failure structure; further increasing the collision velocity, the expansion of the shear failure zone causes the sphere to be fragmented into several “crescent” fragments. At higher impact speeds, the quartz glass ball collapses and spalls at a distance away from the impact end. Furthermore, the discrete element software is utilized to simulate the impact damage process of the sphere. The crushing of the sphere under high-speed collision can be divided into three stages: elastic compression, integral crushing, secondary impact. Before the ball breaks, the Hertz contact theory can describe its impact force well, but the crushing force is much smaller than the theoretical value due to the fracture unloading, and the deviation gradually increases with the increasing impact speed. © 2020, Editorial Board of Chinese Journal of High Pressure Physics. All right reserved."
