"DOI","Link","Author Keywords","Index Keywords"
"10.3390/safety9040088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180181606&doi=10.3390%2fsafety9040088&partnerID=40&md5=4d85068878d4135c759b4a9cacdb0700","automated enforcement; collision analysis; mobile enforcement; safety; survival analysis",""
"10.1109/MECO52532.2021.9460297","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114210216&doi=10.1109%2fMECO52532.2021.9460297&partnerID=40&md5=781bbb2f4c74b3c49823cca45718c3b6","Speed enforcement; speed limiter; traffic management; vehicle speed","Accidents; Motor transportation; Remotely operated vehicles; Roads and streets; Prime factors; Road condition; Safe speed limits; Speed-related accidents; Sudden change; Traffic injuries; Traffic management; Vehicle speed; Speed"
"10.3390/ijerph20075302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152308085&doi=10.3390%2fijerph20075302&partnerID=40&md5=25880a6bc35fdc0811e62af4e9048f3e","actual maximum velocity; critical areas; environmental conditions; personal characteristics; risk management","Accident Prevention; Athletic Injuries; Humans; Logistic Models; Risk Factors; Skiing; Snow Sports; Pyrenees; Spain; accident prevention; comparative study; environmental conditions; health impact; injury; logistics; mobility; physical activity; recreational activity; regression analysis; risk assessment; sport; accident prevention; adult; article; bivariate analysis; controlled study; disrespect; environmental factor; human; human tissue; probability; risk management; skier; telecommunication; velocity; visibility; winter sport; accident prevention; injury; risk factor; skiing; sport injury; statistical model; winter sport"
"10.1656/058.019.0409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098078142&doi=10.1656%2f058.019.0409&partnerID=40&md5=94981382da4e5d8890750bed415acc0d","",""
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112435069&partnerID=40&md5=306c793c3ff9ed0c594fcd04cea7d7e3","Core muscle; Fatigue; Jump serve; Sport biomechanics; Volleyball",""
"10.1063/5.0148010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176749584&doi=10.1063%2f5.0148010&partnerID=40&md5=4d1ea4be3786540181face316e50cd5c","Age groups; mobile phone use; Radar Speed Gun; Spot Speed; T-test; Vehicle License; Weather conditions",""
"10.1109/ITSC48978.2021.9565046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118428926&doi=10.1109%2fITSC48978.2021.9565046&partnerID=40&md5=9bfa9df8d97770d4636fe22be5e829f9","","Cameras; Speed; Action plan; Camera locations; District of columbia; Driving speed; Impact analysis; Speed limit; Traffic crashes; Traffic fatalities; Violation behaviors; Vision Zero; Decision making"
"10.1061/9780784484876.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165743792&doi=10.1061%2f9780784484876.001&partnerID=40&md5=920da211c3a03a8792e5bc6bc9d81c91","","Economics; Car crashes; Crash injury; Effective measures; Effective tool; Fatal crashes; Injury crashes; New Hampshire; Property damage; Red-light cameras; Speed cameras; Automation"
"10.1016/j.aap.2023.107427","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180410676&doi=10.1016%2fj.aap.2023.107427&partnerID=40&md5=54486534f19224cb0f7345e26854335b","Duration framework; Mixed logit; Proactive prediction; Speeding; Work zones","Accidents, Traffic; Automobile Driving; Humans; Logistic Models; Probability; Travel; Behavioral research; Roads and streets; Safety engineering; Traffic control; Travel time; Visibility; Coefficients of variations; Duration framework; Mixed logit; Number of lanes; Proactive prediction; Segment lengths; Speed limit; Speeding; Travel-time; Work zones; car driving; human; prevention and control; probability; statistical model; traffic accident; travel; Forecasting"
"10.11858/gywlxb.20190764","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082341173&doi=10.11858%2fgywlxb.20190764&partnerID=40&md5=b40c3dff73be5f182e028b6a271c26d8","Discrete element method; Fragmentation; Quartz glass; Spallation",""
"10.6109/jicce.2020.18.1.49","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083704024&doi=10.6109%2fjicce.2020.18.1.49&partnerID=40&md5=9684a132bbd50a5ed2b3fa2263d220db","Accidents; Recommendation; Speed Camera Location; Speeding Data",""
