RecordID,Accession number,Title,ForeignTitle,Record type,Language1,Language2,Language3,Record URL1,Record URL2,Record URL3,Source agency,Source Data,Abstract,Supplemental notes,TRIS files,Report number1,Report number2,Report number3,Report number4,Report number5,Report number6,Report number7,Report number8,Report number9,Report number10,Contract number1,Contract number2,Contract number3,Contract number4,Contract number5,Contract number6,Contract number7,Contract number8,Contract number9,Contract number10,Index terms,Subject areas,Created date,Last modified,Media type,Pagination,OCLC,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Discusser1,Discusser2,Discusser3,Discusser4,Discusser5,Discusser6,Discusser7,Discusser8,Discusser9,Discusser10,Chapter,Dataset version,Dataset integrity hash,Dataset publisher1,Dataset publisher2,Dataset publisher3,Dataset publisher4,Dataset publisher5,Dataset publisher6,Dataset publisher7,Dataset publisher8,Dataset publisher9,Dataset publisher10,Features,Publication date,Serial,Conference,Conference sponsor1,Conference sponsor2,Conference sponsor3,Conference sponsor4,Conference sponsor5,Conference sponsor6,Conference sponsor7,Conference sponsor8,Conference sponsor9,Conference sponsor10,Corporate author1,Corporate author2,Corporate author3,Corporate author4,Corporate author5,Corporate author6,Corporate author7,Corporate author8,Corporate author9,Corporate author10,Editor1,Editor2,Editor3,Editor4,Editor5,Editor6,Editor7,Editor8,Editor9,Editor10,Availability agency1,Availability agency2,Availability agency3,Availability agency4,Availability agency5,Availability agency6,Availability agency7,Availability agency8,Availability agency9,Availability agency10,ISBN,Volume,Issue,Edition,Period covered,Project status,Public access compliant,Funding,Deliverables,Notice date,Start date,Expected completion date,Actual completion date,Sponsor organization1,Sponsor organization2,Sponsor organization3,Sponsor organization4,Sponsor organization5,Sponsor organization6,Sponsor organization7,Sponsor organization8,Sponsor organization9,Sponsor organization10,Managing organization1,Managing organization2,Managing organization3,Managing organization4,Managing organization5,Managing organization6,Managing organization7,Managing organization8,Managing organization9,Managing organization10,Performing organization1,Performing organization2,Performing organization3,Performing organization4,Performing organization5,Performing organization6,Performing organization7,Performing organization8,Performing organization9,Performing organization10,Project manager1,Project manager2,Project manager3,Project manager4,Project manager5,Project manager6,Project manager7,Project manager8,Project manager9,Project manager10,Principal investigator1,Principal investigator2,Principal investigator3,Principal investigator4,Principal investigator5,Principal investigator6,Principal investigator7,Principal investigator8,Principal investigator9,Principal investigator10,USDOT Program1,USDOT Program2,USDOT Program3,USDOT Subprogram1,USDOT Subprogram2,USDOT Subprogram3,Terms of use
2367118,01914662,Enhanced Safety of Heavy-Duty Vehicles on Highways through Automatic Speed Enforcement – A Simulation Study,,DO,English,,,https://doi.org/10.4271/2024-01-1964,,,SAE International,,"Highway safety remains a significant concern, especially in mixed traffic scenarios involving heavy-duty vehicles (HDV) and smaller passenger cars. The vulnerability of HDVs following closely behind smaller cars is evident in incidents involving the lead vehicle, potentially leading to catastrophic rear-end collisions. This paper explores how automatic speed enforcement systems, using speed cameras, can mitigate risks for HDVs in such critical situations. While historical crash data consistently demonstrates the reduction of accidents near speed cameras, this paper goes beyond the conventional notion of crash occurrence reduction. Instead, it investigates the profound impact of driver behavior changes within desired travel speed distribution, especially around speed cameras, and their contribution to the safety of trailing vehicles, with a specific focus on heavy-duty trucks in accident-prone scenarios. To conduct this analysis, we utilize SUMO, an open-source microscopic traffic simulator, enabling realistic simulations of real-world driving behaviors with and without speed cameras. The simulations also consider empirical distributions of desired headway gaps and reaction times exhibited by human drivers. This study offers a fresh perspective on highway safety by examining how the influence of automatic speed enforcement systems on driver behavior enhances the safety of HDV when faced with challenging situations. By shedding light on these dynamics, we contribute valuable insights to the ongoing research efforts on using technology to create safer roadways, ultimately promoting safer coexistence between heavy-duty and passenger vehicles.",Abstract reprinted with permission of SAE International.,"TRIS, SAE",2024-01-1964,,,,,,,,,,,,,,,,,,,,"Behavior, Drivers, Heavy duty trucks, Logistics, Reaction time, Rear end crashes","Highways, Vehicles and Equipment",4/15/2024 3:05:00 PM,4/16/2024 9:52:00 AM,Web,,,"Shiledar, Ankur","Sujan, Vivek","Siekmann, Adam","Yuan, Jinghui",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,References,2024-04-09,SAE Technical Paper,WCX SAE World Congress Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Find a library where document is available,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use of TRID, like all other portions of the NAS website, is governed by the NAS website Copyright Policy, Terms of Use, and Privacy Statement . By using TRID, you accept and agree to be bound by these policies."
2367972,01916229,Restricted Speed Enforcement for Positive Train Control Systems,,DO,English,,,https://railroads.dot.gov/sites/fra.dot.gov/files/2024-04/Restricted%20Speed%20PTC.pdf,https://rosap.ntl.bts.gov/view/dot/74200,,,,"As defined by current regulations (Title 49 Code of Federal Regulations [CFR] 236 Subpart G), restricted speed is a speed that will permit stopping within one-half the range of vision, but does not exceed 20 mph. In the U.S., restricted speed operation is a common type of train operation on virtually every mile of automatic blocks and is also common in terminals and yards. From February 2017 to May 2020, the Federal Railroad Administration supported Rutgers University and HNTB Corporation in analyzing the frequency, severity, and other characteristics of restricted-speed train accidents. The team evaluated the safety benefits, incremental costs, and operational impacts of implementing Positive Train Control (PTC) in restricted-speed train operations, focusing on end-of-track collision prevention. A Concept of Operations (ConOps) was proposed, with a “what-if” scenario-based analysis for the Advanced Civil Speed Enforcement System (ACSES) and Interoperable Electronic Train Management System (I-ETMS). A benefit-cost analysis indicated that the safety benefits may exceed the incremental costs if PTC is enforced to prevent end-of-track collisions over a 20-year period under specified circumstances and assumptions. Finally, a field test plan was proposed which can be used to validate the proposed ConOps.",,"NTL, TRIS, USDOT",DOT/FRA/ORD-24/15,,,,,,,,,,DTFR5317C00008,,,,,,,,,,"Advanced Civil Speed Enforcement System, Benefit cost analysis, Interoperable Electronic Train Management System, Positive train control, Railroad crashes, Speed control","Operations and Traffic Management, Railroads",4/16/2024 10:39:00 AM,4/25/2024 3:17:00 PM,Digital/other,112p,,"Liu, Xiang","Holt, Keith","Zhang, Zhipeng",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Appendices, Figures, Photos, References, Tables",2024-04-00,,,,,,,,,,,,,"Rutgers University, New Brunswick",HNTB Corporation,Federal Railroad Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Final Report,February 2017 – May 2020,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use of TRID, like all other portions of the NAS website, is governed by the NAS website Copyright Policy, Terms of Use, and Privacy Statement . By using TRID, you accept and agree to be bound by these policies."
2218897,01888583,"On Speed Management, Public Health, and Risky Behaviors: Examining the Side Effects of Automated Speed-Enforcement Cameras on Traffic Crashes in Bogotá, Colombia",,DO,English,,,https://doi.org/10.1177/03611981231182419,,,,,"Automatic speed-enforcement cameras are considered a highly reliable technology that produces returns on investment through reduced social and economic costs associated with traffic crashes. Drawing from open data and behavioral theory, we test whether fixed speed cameras in urban areas, while reducing traffic crashes, induce compensatory behaviors such as speeding downstream—referred to as the kangaroo effect. We use a quasi-experimental research design that compares intervention and control segments before and after installing 90 fixed speed cameras in selected arterial road segments of Bogotá, followed by a confirmatory spatial statistical analysis. Our statistical tests strongly suggest that fixed speed cameras induce compensatory behaviors, noticeably reducing the overall effect of these investments. Despite this finding, fixed speed cameras in Bogotá have satisfactory results for reducing fatal and non-fatal injuries overall, and more so for pedestrians and motorcyclists.",Segundo Lopez Valderrama https://orcid.org/0000-0001-5229-6980© National Academy of Sciences: Transportation Research Board 2023.,"TRIS, TRB, ATRI",,,,,,,,,,,,,,,,,,,,,"Arterial highways, Automated enforcement, Before and after studies, Bogotá (Colombia), Cameras, Crash injuries, Fatalities, Speed control","Highways, Operations and Traffic Management, Safety and Human Factors",7/22/2023 3:00:00 PM,3/1/2024 3:00:00 PM,Web,pp 590-600,,"Valderrama, Segundo Lopez","Palacios, Manuel Santana","Botello, Valentina Perdomo","Perez-Barbosa, David","Arrieta, Juliana Vega","Kisner, Jessica","Adriazola-Steil, Claudia",,,,,,,,,,,,,,,,,,,,,,,,,,,References,2024-03-00,Transportation Research Record: Journal of the Transportation Research Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Find a library where document is available,,,,,,,,,,,2678,3,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use of TRID, like all other portions of the NAS website, is governed by the NAS website Copyright Policy, Terms of Use, and Privacy Statement . By using TRID, you accept and agree to be bound by these policies."
2315950,01904553,Assessing driver behavior in work zones: A discretized duration approach to predict speeding,,DO,English,,,https://doi.org/10.1016/j.aap.2023.107427,http://www.sciencedirect.com/science/article/pii/S0001457523004748,,,,"Higher speeds in work zones have been linked to an increased likelihood of crashes and more severe crash outcomes. To enhance safety, speed limits are often reduced in work zones, aiming to create a steady flow of traffic and safer traffic operations such as merging and flagging. However, this speed reduction can also lead to abrupt speed changes, resulting from sudden braking or acceleration, increasing the risk of crashes. This disruption in speed and flow results increases the likelihood of rear-end crashes. Ensuring driver compliance with the reduced speed limits and traffic flow operations is challenging as work zones may cause frustration and lead to more instances of speeding. Therefore, proactively predicting speeding events in work zones can be crucial for the safety of both workers and road users, as it enables the implementation of speed enforcement measures to maintain and improve driver compliance in advance. In this study, the authors employ the duration-based prediction framework to forecast speeding occurrences in work zones. The model is used to identify significant predictors of speeding including visibility, number of lanes, posted speed limit, segment length, coefficient of variation in speed, and travel time index. Among these variables, the number of lanes, posted speed limit, and coefficient of variation of speed are positively associated with speeding. On the other hand, visibility, segment length, and travel time index are negatively associated with speeding. Results show the model’s predictive accuracy is higher for speeding events with shorter durations between consecutive occurrences. The model predicted speeding within 61% of the actual epoch when speeding events within 5 h of one another were considered for validation. This indicates that the model is more effective for road segments and work zones where speeding occurs more frequently. The prediction framework can be a great asset for agencies to improve work zone safety in real-time by enabling them to proactively implement effective work zone enforcement measures to control speeding and to stay prepared, preventing potential hazards.",© 2023 Elsevier Ltd. All rights reserved. Abstract reprinted with permission of Elsevier.,TRIS,,,,,,,,,,,,,,,,,,,,,"Behavior, Driver performance, Predictive models, Speeding, Work zone safety","Highways, Safety and Human Factors",12/28/2023 4:12:00 PM,1/16/2024 9:03:00 AM,Web,107427,,"Thapa, Diwas","Mishra, Sabyasachee","Khattak, Asad","Adeel, Muhammad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,References,2024-03-00,Accident Analysis & Prevention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Find a library where document is available,,,,,,,,,,,196,0,,March 2024,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use of TRID, like all other portions of the NAS website, is governed by the NAS website Copyright Policy, Terms of Use, and Privacy Statement . By using TRID, you accept and agree to be bound by these policies."
2342180,01909022,Effectiveness of Automated Speed Enforcement in School Zones and Guidance for Continuous Usage in Georgia,,PR,English,,,,,,Georgia Department of Transportation,,"The main objective of this study is to evaluate the effectiveness of using automated speed enforcement practices in school zones of Georgia in improving safety and reducing the speeds of cross traffic through school zones. Additionally, the study will explore the public opinions of the practice via a survey.",,"RIP, STATEDOT",,,,,,,,,,,GDOT RP 23-15,,,,,,,,,,"Automated enforcement, Georgia, Public opinion, Safety, Speed control, Speed zones, Traffic law enforcement","Highways, Operations and Traffic Management, Passenger Transportation, Pedestrians and Bicyclists, Safety and Human Factors",2/21/2024 8:42:00 AM,2/21/2024 10:53:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,False,200000,,,2024-01-17,2026-01-17,,Georgia Department of Transportation,,,,,,,,,,,,,,,,,,,,Kennesaw State University Research and Service Foundation,,,,,,,,,,"Ahmed, Sabbir",,,,,,,,,,"Dissanayake, Sunanda",,,,,,,,,,,,,,,,"Use of TRID, like all other portions of the NAS website, is governed by the NAS website Copyright Policy, Terms of Use, and Privacy Statement . By using TRID, you accept and agree to be bound by these policies."
2268910,01896850,A case-control study of the impact of automated speed enforcement on motorist speeds and speeding violations in Rwanda,,DO,English,,,https://doi.org/10.1016/j.aap.2023.107327,http://www.sciencedirect.com/science/article/pii/S0001457523003743,,,,"This short communication is the first in a series of reports to be published that document the implementation processes, impacts, and Rwandan public perception of automated speed enforcement (ASE) from an evaluation conducted in 2022–23. In this case control study, the authors measured the effect of overt speed cameras versus no camera on mean speeds, speed violations, and any excess of the speed limit on national roads. Nearly all ASE impact studies in the published literature take place in high income settings, but the authors still found similarities between them and the results of this present study. A recent systematic review found that ASE reduced mean and 85th percentile speeds by up to a third in most reported studies. Among cars, the present study found that ASE was associated with a 17 % decrease in mean speeds compared to sites without an ASE camera. The authors’ finding on the local association of lower mean and excess speeds at overt cameras is similar to another study in New Zealand.",© 2023 Elsevier Ltd. All rights reserved. Abstract reprinted with permission of Elsevier.,TRIS,,,,,,,,,,,,,,,,,,,,,"Automated enforcement, Cameras, Developing countries, Rwanda, Speeding, Traffic law enforcement","Highways, Operations and Traffic Management, Safety and Human Factors",10/15/2023 3:09:00 PM,10/23/2023 8:52:00 AM,Web,107327,,"Mesic, Aldina","Krebs, Elizabeth","Delavary, Milad","Vanlaar, Ward","Turner, Blair","Neki, Kazuyuki","Nzeyimana, Innocent",,,,,,,,,,,,,,,,,,,,,,,,,,,References,2024-01-00,Accident Analysis & Prevention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Find a library where document is available,,,,,,,,,,,194,0,,January 2024,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use of TRID, like all other portions of the NAS website, is governed by the NAS website Copyright Policy, Terms of Use, and Privacy Statement . By using TRID, you accept and agree to be bound by these policies."
2329681,01907826,Research on the Impacts of Automated Speed Enforcement in Rwanda to Develop Recommendations for African Countries: Self-Published Compiled Reports,,DO,English,,,https://tirf.ca/download-page/?dlm-dp-dl=12987,https://tirf.ca/projects/automated-speed-enforcement-rwanda/,https://tirf.ca/download-page/?dlm-dp-dl=12968,,,"Rwanda’s pioneering initiative as the first low-income country in Africa to implement a comprehensive national Automated Speed Enforcement (ASE) system provides a gateway for sharing important insights to address shared challenges in road safety. With limited resources, a high burden of road traffic injuries, and a collective commitment to improving road safety, Rwanda’s experience serves as a blueprint for other nations facing similar road safety challenges. The current project fills a gap in research, as no prior studies have assessed national automated speed enforcement implementation in African countries. The multifaceted approach encompasses the description of ASE system implementation, experimental assessment of camera impact on speed outcomes, measurement of public experiences and perceptions, and an investigation into the effectiveness of ASE tools in reducing collisions.","©2024 Traffic Injury Research Foundation, Healthy People Rwanda, and World Bank.",TRIS,,,,,,,,,,,,,,,,,,,,,"Automated enforcement, Before and after studies, Crash rates, Implementation, Public opinion, Rwanda, Speed control, Speeding","Highways, Operations and Traffic Management, Safety and Human Factors",1/29/2024 12:01:00 PM,2/12/2024 10:31:00 AM,Digital/other,124p,,"Nzeyimana, Innocent","Krebs, Elizabeth","Mesic, Aldina","Gakwaya, Bertin Uwase","Sesonga, Placide","Delavary, Milad","Vanlaar, Ward",,,,,,,,,,,,,,,,,,,,,,,,,,,"Appendices, Figures, Maps, Photos, References, Tables",2024-01-00,,,,,,,,,,,,,Healthy People Rwanda,Traffic Injury Research Foundation (TIRF),World Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use of TRID, like all other portions of the NAS website, is governed by the NAS website Copyright Policy, Terms of Use, and Privacy Statement . By using TRID, you accept and agree to be bound by these policies."
2344898,01910618,Effects of Speed Feedback Trailer Positioning and Police Enforcement on Vehicular Speeds in Freeway Work Zone Lane Closures,,DO,English,,,https://doi.org/10.1177/03611981241230319,,,,,"This field study sought to evaluate select strategies for improving compliance with work zone speed limits, which included a speed feedback trailer (SFT) and active police enforcement. The initial evaluation included an SFT positioned at the start or end of the taper within a freeway single-lane closure to determine which position provided the most favorable speed reductions. Positioning the SFT near the end of the taper caused the speed reductions to be sustained over a greater distance into the work zone compared with when the SFT was positioned near the start of the taper. With the SFT positioned near end of the taper, the average speed was 1.5 mph lower at the end of the taper and 0.8 mph lower 1,350-ft beyond the end of the taper compared with when the SFT was inactive. The second evaluation assessed the effectiveness of a specialized work zone enforcement strategy that included a covert speed measurement vehicle positioned near the end of the work zone along with four police cars positioned just beyond the end of the work zone to stop speeding drivers. This speed enforcement strategy reduced work zone speeds by up to 7 mph, on average, shortly beyond the end of the work zone as motorists passed by the police cars positioned on the shoulder. These speed reductions were only observed when at least one law enforcement vehicle was visibly present at the site.",Md Shakir Mahmud https://orcid.org/0000-0003-3075-3196© The Author(s) 2024.,"TRIS, TRB",,,,,,,,,,,,,,,,,,,,,"Driving behavior, Speed data, Speed limits, Traffic law enforcement, Work zone safety","Construction, Data and Information Technology, Highways, Operations and Traffic Management, Safety and Human Factors",2/27/2024 3:03:00 PM,3/1/2024 1:41:00 PM,Web,,,"Mahmud, Md Shakir","Jashami, Hisham","Megat Johari, Megat Usamah","Gupta, Nischal","Bamney, Anshu","Gates, Timothy J","Savolainen, Peter",,,,,,,,,,,,,,,,,,,,,,,,,,,References,2024-00-00,Transportation Research Record: Journal of the Transportation Research Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Find a library where document is available,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use of TRID, like all other portions of the NAS website, is governed by the NAS website Copyright Policy, Terms of Use, and Privacy Statement . By using TRID, you accept and agree to be bound by these policies."
2347392,01910638,Evaluating the Effectiveness of Speed Cameras on Philadelphia’s Roosevelt Boulevard,,DO,English,,,https://doi.org/10.1177/03611981241230320,,,,,"This paper employs Bayesian negative binomial and Poisson models to examine the effectiveness of speed cameras at reducing crashes, injuries, and fatalities on and immediately around Roosevelt Boulevard, a particularly dangerous urban arterial in Philadelphia, PA. Camera installation also coincided with rapidly changing traffic safety outcomes throughout the summer after COVID-19 lockdowns and protests against police violence. To find the most appropriate control segments for their analysis, the authors use k-means clustering to identify the five most similar roadways. Compared with these roadways and other geographic controls, the treated sections of Roosevelt Boulevard experienced decreased crashes, injuries, and fatalities after camera installation. These decreases are on the high end of what is found in the academic literature on speed cameras. The findings for total crashes, traffic injuries, fatalities, and pedestrian injuries are statistically different from zero with a high degree of confidence. Differences in pedestrian fatalities are statistically different from zero with 90% confidence. Based on their findings, the authors recommend that the Commonwealth of Pennsylvania and City of Philadelphia extend and expand the automated speed enforcement pilot. Estimates of the economic benefits of reduced crashes substantially exceed the total fines paid by violators. Despite this positive safety effect, additional treatments will be required to make Roosevelt Boulevard substantially safer. The roadway still accounts for around 8% of all traffic fatalities in Philadelphia.",© The Author(s) 2024.,"TRIS, TRB",,,,,,,,,,,,,,,,,,,,,"Arterial highways, Automated enforcement, Cameras, Philadelphia (Pennsylvania), Speeding, Traffic safety","Highways, Operations and Traffic Management, Safety and Human Factors",2/29/2024 3:01:00 PM,3/3/2024 2:16:00 PM,Web,,,"Guerra, Erick","Puchalsky, Christopher","Kovalova, Nata","Hu, Yihong","Si, Qi","Tan, Jiamin","Zhao, Gillian",,,,,,,,,,,,,,,,,,,,,,,,,,,"Figures, Maps, References, Tables",2024-00-00,Transportation Research Record: Journal of the Transportation Research Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Find a library where document is available,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use of TRID, like all other portions of the NAS website, is governed by the NAS website Copyright Policy, Terms of Use, and Privacy Statement . By using TRID, you accept and agree to be bound by these policies."
2371028,01916944,Speed Safety Cameras,,DO,English,,,https://highways.dot.gov/public-roads/spring-2024/05,,,,,"This article discusses the use of speed safety cameras (SSCs) as a traffic safety countermeasure. Traditionally, speed enforcement has been conducted by law enforcement officers, through roadside traffic stops. However, with the increased focus on social justice involving traffic stops and a growing shortage of traditional law enforcement resources, traffic safety practitioners are increasingly looking to automated solutions, such as SSCs. The SSC is one of the 28 Federal Highway Administration’s Proven Safety Countermeasures and is identified as a five-star countermeasure that works by the National Highway Traffic Safety Administration (NHTSA). In January 2023, to assist practitioners considering the use of SSCs, FHWA and NHTSA jointly published the Speed Safety Camera Program Planning and Operations Guide (Guide).",,TRIS,,,,,,,,,,,,,,,,,,,,,"Cameras, Equity, Guidelines, Highway safety, National Highway Traffic  Safety  Administration, Speeding, Traffic law enforcement, U.S. Federal Highway Administration","Highways, Safety and Human Factors",4/25/2024 10:48:00 AM,4/29/2024 9:05:00 AM,Web,,,"King, Jeffrey","Zineddin, Abdul","Thomas, Emily","Williams, Keith",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Figures, Photos",2024-00-00,Public Roads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Find a library where document is available,,,,,,,,,,,88,1,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use of TRID, like all other portions of the NAS website, is governed by the NAS website Copyright Policy, Terms of Use, and Privacy Statement . By using TRID, you accept and agree to be bound by these policies."
