Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
8,"S Shaheen, CJ Rodier, E Cavanagh","Automated speed enforcement in the US: a review of the literature on benefits and barriers to implementation",2007,"","escholarship.org","https://escholarship.org/uc/item/41k1k365","https://scholar.google.com/scholar?cites=4560258471320653013&as_sdt=2005&sciodt=0,5&hl=en",1,"2024-05-21 15:27:44","","","","",,,,,8,0.47,3,3,17,"… In the US, automated speed enforcement programs are currently … Moreover, a number of automated speed enforcement … to implementing automated speed enforcement programs in the …","https://escholarship.org/content/qt41k1k365/qt41k1k365_noSplash_208f53847732097ab8144529ecee1bf0.pdf","https://scholar.google.com/scholar?q=related:1YwIG-tKST8J:scholar.google.com/&scioq=intitle:%22speed+enforcement%22%7Cintitle:%22speed+gun%22%7Cintitle:%22speed+gun%22%7Cintitle:%22photo+enforcement%22%7Cintitle:%22photo+enforcement%22&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2024&as_vis=1"
25,"CJ Rodier, SA Shaheen, E Cavanagh","Automated speed enforcement in the US: a review of the literature on benefits and barriers to implementation",2007,"… Research Board 87 th …","academia.edu","https://www.academia.edu/download/75396981/Automated_Speed_Enforcement_in_the_U.S._20211129-29799-10k24vt.pdf","https://scholar.google.com/scholar?cites=3819514758533738901&as_sdt=2005&sciodt=0,5&hl=en",2,"2024-05-21 15:27:44","PDF","","","",,,,,25,1.47,8,3,17,"… In the US, automated speed enforcement programs are currently … Moreover, a number of automated speed enforcement … to implementing automated speed enforcement programs in the …","https://www.academia.edu/download/75396981/Automated_Speed_Enforcement_in_the_U.S._20211129-29799-10k24vt.pdf","https://scholar.google.com/scholar?q=related:lfHDrG-kATUJ:scholar.google.com/&scioq=intitle:%22speed+enforcement%22%7Cintitle:%22speed+gun%22%7Cintitle:%22speed+gun%22%7Cintitle:%22photo+enforcement%22%7Cintitle:%22photo+enforcement%22&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2024&as_vis=1"
6,"AA Siregar","How can speed enforcement be made more effective? An investigation into the effect of police presence, speed awareness training and roadside publicity on drivers' …",2018,"","etheses.whiterose.ac.uk","https://etheses.whiterose.ac.uk/20653/","https://scholar.google.com/scholar?cites=7653722604093724672&as_sdt=2005&sciodt=0,5&hl=en",3,"2024-05-21 15:27:44","","","","",,,,,6,1.00,6,1,6,"… develop more effective speed enforcement by investigating … including the new proposed speed enforcement program. There … job satisfaction to current speed enforcement methods. One …","https://etheses.whiterose.ac.uk/20653/1/Siregar%2C%20Aswin_Transport_PhD_2018.pdf","https://scholar.google.com/scholar?q=related:AFhiQih8N2oJ:scholar.google.com/&scioq=intitle:%22speed+enforcement%22%7Cintitle:%22speed+gun%22%7Cintitle:%22speed+gun%22%7Cintitle:%22photo+enforcement%22%7Cintitle:%22photo+enforcement%22&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2024&as_vis=1"
0,"Z Abouchacra","Automated Speed Enforcement as a Mechanism of Social Control?",2023,"","ruor.uottawa.ca","https://ruor.uottawa.ca/handle/10393/45429","",4,"2024-05-21 15:27:44","","","","",,,,,0,0.00,0,1,1,"This thesis focuses on how the recently implemented automated speed enforcement (ASE) program in the City of Toronto functions as a tool of social control. Using a governmentality …","https://ruor.uottawa.ca/bitstream/10393/45429/4/Abouchacra_Zeina_2023_thesis.pdf","https://scholar.google.com/scholar?q=related:3GZChKoNjTwJ:scholar.google.com/&scioq=intitle:%22speed+enforcement%22%7Cintitle:%22speed+gun%22%7Cintitle:%22speed+gun%22%7Cintitle:%22photo+enforcement%22%7Cintitle:%22photo+enforcement%22&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2024&as_vis=1"
1,"SA Al Ramadhani","A gap analysis of the automated speed enforcement operations and regulations in Oman",2019,"","eprints.qut.edu.au","https://eprints.qut.edu.au/134252","https://scholar.google.com/scholar?cites=1269264500622073942&as_sdt=2005&sciodt=0,5&hl=en",5,"2024-05-21 15:27:44","","","","",,,,,1,0.20,1,1,5,"… In regards to the operational aspects of Omani automated speed enforcement, this study explored the site selection criteria and it found that different automated speed enforcement, …","https://eprints.qut.edu.au/134252/1/Saif_Al%20Ramadhani_Thesis.pdf","https://scholar.google.com/scholar?q=related:VqCXpVZVnREJ:scholar.google.com/&scioq=intitle:%22speed+enforcement%22%7Cintitle:%22speed+gun%22%7Cintitle:%22speed+gun%22%7Cintitle:%22photo+enforcement%22%7Cintitle:%22photo+enforcement%22&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2024&as_vis=1"
0,"ST Center","Issues and Impact of Red Light Camera and Automated Speed Enforcement",2009,"","Citeseer","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=cf43c26f501f31ce52cb88e329589a9974b66ed3","",6,"2024-05-21 15:27:44","PDF","","","",,,,,0,0.00,0,1,15,"… speed enforcement is very difficult in these areas. There are other locations also where speed enforcement by … Part B of this report, which deals with speed enforcement, benefited for the …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=cf43c26f501f31ce52cb88e329589a9974b66ed3","https://scholar.google.com/scholar?q=related:Co6qkKLAjssJ:scholar.google.com/&scioq=intitle:%22speed+enforcement%22%7Cintitle:%22speed+gun%22%7Cintitle:%22speed+gun%22%7Cintitle:%22photo+enforcement%22%7Cintitle:%22photo+enforcement%22&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2024&as_vis=1"
0,"P Šatinskis","Design of vehicle speed enforcement system in residential areas",2023,"","epubl.ktu.edu","https://epubl.ktu.edu/object/elaba:167818931/","",7,"2024-05-21 15:27:44","","","","",,,,,0,0.00,0,1,1,"… This study designed a speed enforcement system for residential areas. The speed enforcement … In addition, the control logic of the speed enforcement system was evaluated and was …","https://epubl.ktu.edu/object/elaba:167818931/167818931.pdf","https://scholar.google.com/scholar?q=related:sdV6smoGa20J:scholar.google.com/&scioq=intitle:%22speed+enforcement%22%7Cintitle:%22speed+gun%22%7Cintitle:%22speed+gun%22%7Cintitle:%22photo+enforcement%22%7Cintitle:%22photo+enforcement%22&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2024&as_vis=1"
18,"DA Quistberg, LL Thompson, J Curtin…","Impact of automated photo enforcement of vehicle speed in school zones: interrupted time series analysis",2019,"Injury …","injuryprevention.bmj.com","https://injuryprevention.bmj.com/content/25/5/400.abstract","https://scholar.google.com/scholar?cites=16406616159547304489&as_sdt=2005&sciodt=0,5&hl=en",8,"2024-05-21 15:27:44","","","","",,,,,18,3.60,5,4,5,"… photo enforcement in school zones with the goal of reducing speeds and speed violations, but the effectiveness of photo enforcement … of automated speed enforcement cameras on the …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6445786/","https://scholar.google.com/scholar?q=related:KSoAnHgCsOMJ:scholar.google.com/&scioq=intitle:%22speed+enforcement%22%7Cintitle:%22speed+gun%22%7Cintitle:%22speed+gun%22%7Cintitle:%22photo+enforcement%22%7Cintitle:%22photo+enforcement%22&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2024&as_vis=1"
0,"R Li","Safety Effects of Automated Mobile Photo Enforcement",2014,"","era.library.ualberta.ca","https://era.library.ualberta.ca/items/e1b62117-5973-462c-93a6-086593a903ed","",9,"2024-05-21 15:27:44","","","","",,,,,0,0.00,0,1,10,"This thesis evaluated the safety effects of automated mobile enforcement at both the segmentbased level and city-wide level over a period of eight years. For the segment-based …","https://era.library.ualberta.ca/items/e1b62117-5973-462c-93a6-086593a903ed/download/a6120b57-34a4-491a-bc17-990c6629071b","https://scholar.google.com/scholar?q=related:W10M2ZAInrIJ:scholar.google.com/&scioq=intitle:%22speed+enforcement%22%7Cintitle:%22speed+gun%22%7Cintitle:%22speed+gun%22%7Cintitle:%22photo+enforcement%22%7Cintitle:%22photo+enforcement%22&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2024&as_vis=1"
8,"Y Li, AM Kim, K El-Basyouny, R Li","Using GIS to interpret automated speed enforcement guidelines and guide deployment decisions in mobile photo enforcement programs",2016,"… Research Part A: Policy and Practice","Elsevier","https://www.sciencedirect.com/science/article/pii/S0965856416000422","https://scholar.google.com/scholar?cites=12939173945657788797&as_sdt=2005&sciodt=0,5&hl=en",10,"2024-05-21 15:27:44","HTML","","","",,,,,8,1.00,2,4,8,"Automated speed enforcement (ASE) guidelines are designed to guide enforcement agencies in operating ASE programs that are effective in improving traffic safety. Given that …","https://www.sciencedirect.com/science/article/pii/S0965856416000422","https://scholar.google.com/scholar?q=related:fQnsHSYukbMJ:scholar.google.com/&scioq=intitle:%22speed+enforcement%22%7Cintitle:%22speed+gun%22%7Cintitle:%22speed+gun%22%7Cintitle:%22photo+enforcement%22%7Cintitle:%22photo+enforcement%22&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2024&as_vis=1"
58,"A Montella, V Punzo, S Chiaradonna…","Point-to-point speed enforcement systems: Speed limits design criteria and analysis of drivers' compliance",2015,"… research part C …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0968090X15000339","https://scholar.google.com/scholar?cites=17036119332574072485&as_sdt=2005&sciodt=0,5&hl=en",11,"2024-05-21 15:27:44","HTML","","","",,,,,58,6.44,15,4,9,"Point-to-point (P2P) speed enforcement is a relatively new approach to traffic law enforcement. Its technology allows vehicles whose average speed exceeds the speed limit over the …","https://www.sciencedirect.com/science/article/pii/S0968090X15000339","https://scholar.google.com/scholar?q=related:pQ4-kUV0bOwJ:scholar.google.com/&scioq=intitle:%22speed+enforcement%22%7Cintitle:%22speed+gun%22%7Cintitle:%22speed+gun%22%7Cintitle:%22photo+enforcement%22%7Cintitle:%22photo+enforcement%22&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2024&as_vis=1"
61,"RF Benekohal, MV Chitturi…","Automated speed photo enforcement effects on speeds in work zones",2008,"Transportation …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.3141/2055-02","https://scholar.google.com/scholar?cites=8237780380109506593&as_sdt=2005&sciodt=0,5&hl=en",12,"2024-05-21 15:27:44","","10.3141/2055-02","","",,,,,61,3.81,20,3,16,"Automated speed enforcement in construction zones has the potential to increase compliance with the speed limit and improve safety. The effectiveness of speed photo enforcement (…","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=17ea7b1fcdbcab0710310b3f6a670c6fba00110c","https://scholar.google.com/scholar?q=related:IQgcLpx5UnIJ:scholar.google.com/&scioq=intitle:%22speed+enforcement%22%7Cintitle:%22speed+gun%22%7Cintitle:%22speed+gun%22%7Cintitle:%22photo+enforcement%22%7Cintitle:%22photo+enforcement%22&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2024&as_vis=1"
84,"A Montella, LL Imbriani, V Marzano…","Effects on speed and safety of point-to-point speed enforcement systems: Evaluation on the urban motorway A56 Tangenziale di Napoli",2015,"Accident analysis & …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0001457514003777","https://scholar.google.com/scholar?cites=14648937037746440160&as_sdt=2005&sciodt=0,5&hl=en",13,"2024-05-21 15:27:44","HTML","","","",,,,,84,9.33,21,4,9,"In this paper, we evaluated the effects on speed and safety of the point-to-point (P2P) speed enforcement system activated on the urban motorway A56 in Italy. The P2P speed …","https://www.sciencedirect.com/science/article/pii/S0001457514003777","https://scholar.google.com/scholar?q=related:4IfwV596S8sJ:scholar.google.com/&scioq=intitle:%22speed+enforcement%22%7Cintitle:%22speed+gun%22%7Cintitle:%22speed+gun%22%7Cintitle:%22photo+enforcement%22%7Cintitle:%22photo+enforcement%22&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2024&as_vis=1"
4,"K Shaaban, A Mohammad…","Identifying optimal locations for speed enforcement cameras",2023,"Transportation research …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/03611981221125213","https://scholar.google.com/scholar?cites=1347492101454783425&as_sdt=2005&sciodt=0,5&hl=en",14,"2024-05-21 15:27:44","","10.1177/03611981221125213","","",,,,,4,4.00,1,3,1,"Speed enforcement cameras are used to improve traffic safety. … identified the optimal location for speed enforcement cameras. The … speed enforcement plans for different road networks. …","","https://scholar.google.com/scholar?q=related:wWPbTO1AsxIJ:scholar.google.com/&scioq=intitle:%22speed+enforcement%22%7Cintitle:%22speed+gun%22%7Cintitle:%22speed+gun%22%7Cintitle:%22photo+enforcement%22%7Cintitle:%22photo+enforcement%22&hl=en&as_sdt=0,5&as_ylo=2003&as_yhi=2024&as_vis=1"
