PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31656123","Speed in a high-speed society","Hydén C.","Int J Inj Contr Saf Promot. 2020 Mar;27(1):44-50. doi: 10.1080/17457300.2019.1680566. Epub 2019 Oct 28.","Hydén C","Int J Inj Contr Saf Promot","2020","2019/10/29","","","10.1080/17457300.2019.1680566"
"23474237","Effects of average speed enforcement on speed compliance and crashes: a review of the literature","Soole DW, Watson BC, Fleiter JJ.","Accid Anal Prev. 2013 May;54:46-56. doi: 10.1016/j.aap.2013.01.018. Epub 2013 Feb 15.","Soole DW","Accid Anal Prev","2013","2013/03/12","","","10.1016/j.aap.2013.01.018"
"34910946","Comparative analysis of drive-cycles, speed limit violations, and emissions in two cities: Toronto and Beijing","Zhai Z, Xu J, Song G, Hatzopoulou M.","Sci Total Environ. 2022 Mar 10;811:152323. doi: 10.1016/j.scitotenv.2021.152323. Epub 2021 Dec 12.","Zhai Z","Sci Total Environ","2022","2021/12/15","","","10.1016/j.scitotenv.2021.152323"
"30279165","Impact of automated photo enforcement of vehicle speed in school zones: interrupted time series analysis","Quistberg DA, Thompson LL, Curtin J, Rivara FP, Ebel BE.","Inj Prev. 2019 Oct;25(5):400-406. doi: 10.1136/injuryprev-2018-042912. Epub 2018 Oct 2.","Quistberg DA","Inj Prev","2019","2018/10/04","PMC6445786","NIHMS1000510","10.1136/injuryprev-2018-042912"
"26773696","Driver views on speed and enforcement","Schechtman E, Bar-Gera H, Musicant O.","Accid Anal Prev. 2016 Apr;89:9-21. doi: 10.1016/j.aap.2015.12.028. Epub 2016 Jan 14.","Schechtman E","Accid Anal Prev","2016","2016/01/17","","","10.1016/j.aap.2015.12.028"
"22579218","Speed enforcement in China: National, provincial and city initiatives and their success","He J, King M, Watson B, Rakotonirainy A, Fleiter J.","Accid Anal Prev. 2013 Jan;50:282-8. doi: 10.1016/j.aap.2012.04.017. Epub 2012 May 12.","He J","Accid Anal Prev","2013","2012/05/15","","","10.1016/j.aap.2012.04.017"
"25909388","Enforcement avoidance behavior near automated speed enforcement areas in Korean expressways","Shim J, Park SH, Chung S, Jang K.","Accid Anal Prev. 2015 Jul;80:57-66. doi: 10.1016/j.aap.2015.03.037. Epub 2015 Apr 21.","Shim J","Accid Anal Prev","2015","2015/04/25","","","10.1016/j.aap.2015.03.037"
"27716493","Lowering thresholds for speed limit enforcement impairs peripheral object detection and increases driver subjective workload","Bowden VK, Loft S, Tatasciore M, Visser TA.","Accid Anal Prev. 2017 Jan;98:118-122. doi: 10.1016/j.aap.2016.09.029. Epub 2016 Oct 5.","Bowden VK","Accid Anal Prev","2017","2016/10/08","","","10.1016/j.aap.2016.09.029"
"16051180","The effects of speed enforcement with mobile radar on speed and accidents. An evaluation study on rural roads in the Dutch province Friesland","Goldenbeld C, van Schagen I.","Accid Anal Prev. 2005 Nov;37(6):1135-44. doi: 10.1016/j.aap.2005.06.011. Epub 2005 Jul 26.","Goldenbeld C","Accid Anal Prev","2005","2005/07/30","","","10.1016/j.aap.2005.06.011"
"34300397","Multi-Camera Vessel-Speed Enforcement by Enhancing Detection and Re-Identification Techniques","Zwemer MH, Groot HGJ, Wijnhoven R, Bondarev E, de With PHN.","Sensors (Basel). 2021 Jul 7;21(14):4659. doi: 10.3390/s21144659.","Zwemer MH","Sensors (Basel)","2021","2021/07/24","PMC8309664","","10.3390/s21144659"
"27586103","Effects of automated speed enforcement in Montgomery County, Maryland, on vehicle speeds, public opinion, and crashes","Hu W, McCartt AT.","Traffic Inj Prev. 2016 Sep;17 Suppl 1:53-8. doi: 10.1080/15389588.2016.1189076.","Hu W","Traffic Inj Prev","2016","2016/09/03","","","10.1080/15389588.2016.1189076"
"33849342","A new model to estimate pedestrian deaths from speed-related interventions","Goel R.","Traffic Inj Prev. 2021;22(4):330-335. doi: 10.1080/15389588.2021.1908544. Epub 2021 Apr 13.","Goel R","Traffic Inj Prev","2021","2021/04/14","","","10.1080/15389588.2021.1908544"
"29653626","Effective interventions for unintentional injuries: a systematic review and mortality impact assessment among the poorest billion","Vecino-Ortiz AI, Jafri A, Hyder AA.","Lancet Glob Health. 2018 May;6(5):e523-e534. doi: 10.1016/S2214-109X(18)30107-4.","Vecino-Ortiz AI","Lancet Glob Health","2018","2018/04/15","","","10.1016/S2214-109X(18)30107-4"
"34856506","Estimating heterogeneous treatment effects in road safety analysis using generalized random forests","Zhang Y, Li H, Ren G.","Accid Anal Prev. 2022 Feb;165:106507. doi: 10.1016/j.aap.2021.106507. Epub 2021 Nov 29.","Zhang Y","Accid Anal Prev","2022","2021/12/02","","","10.1016/j.aap.2021.106507"
"25482322","Effects on speed and safety of point-to-point speed enforcement systems: evaluation on the urban motorway A56 Tangenziale di Napoli","Montella A, Imbriani LL, Marzano V, Mauriello F.","Accid Anal Prev. 2015 Feb;75:164-78. doi: 10.1016/j.aap.2014.11.022. Epub 2014 Dec 5.","Montella A","Accid Anal Prev","2015","2014/12/09","","","10.1016/j.aap.2014.11.022"
"35793159","Factors influencing injury severity to belted drivers in car crashes in India","Jayaraman A, Patel M, Padmanaban J.","Traffic Inj Prev. 2022;23(sup1):S161-S166. doi: 10.1080/15389588.2022.2085872. Epub 2022 Jul 6.","Jayaraman A","Traffic Inj Prev","2022","2022/07/06","","","10.1080/15389588.2022.2085872"
"20179029","Effectiveness of speed enforcement through fixed speed cameras: a time series study","Novoa AM, Pérez K, Santamariña-Rubio E, Marí-Dell'Olmo M, Tobías A.","Inj Prev. 2010 Feb;16(1):12-6. doi: 10.1136/ip.2008.021485.","Novoa AM","Inj Prev","2010","2010/02/25","","","10.1136/ip.2008.021485"
"16625608","Speed enforcement detection devices for preventing road traffic injuries","Wilson C, Willis C, Hendrikz JK, Bellamy N.","Cochrane Database Syst Rev. 2006 Apr 19;(2):CD004607. doi: 10.1002/14651858.CD004607.pub2.","Wilson C","Cochrane Database Syst Rev","2006","2006/04/21","","","10.1002/14651858.CD004607.pub2"
"38253631","Drivers' behavior confronting fixed and point-to-point speed enforcement camera: agent-based simulation and translation to crash relative risk change","Safavi-Naini SAA, Sobhani S, Malekpour MR, Bhalla K, Shahraz S, Haghshenas R, Ghamari SH, Abbasi-Kangevari M, Rezaei N, Heydari ST, Rezaei N, Lankarani KB, Farzadfar F.","Sci Rep. 2024 Jan 22;14(1):1863. doi: 10.1038/s41598-024-52265-3.","Safavi-Naini SAA","Sci Rep","2024","2024/01/22","PMC10803355","","10.1038/s41598-024-52265-3"
"26342893","Speed enforcement in Norway: Testing a game-theoretic model of the interaction between drivers and the police","Elvik R.","Accid Anal Prev. 2015 Nov;84:128-33. doi: 10.1016/j.aap.2015.08.017. Epub 2015 Sep 3.","Elvik R","Accid Anal Prev","2015","2015/09/07","","","10.1016/j.aap.2015.08.017"
"35458870","Using Connected Vehicle Trajectory Data to Evaluate the Impact of Automated Work Zone Speed Enforcement","Mathew JK, Li H, Landvater H, Bullock DM.","Sensors (Basel). 2022 Apr 9;22(8):2885. doi: 10.3390/s22082885.","Mathew JK","Sensors (Basel)","2022","2022/04/23","PMC9024971","","10.3390/s22082885"
"30205285","Safety and operational impacts of setting speed limits below engineering recommendations","Gayah VV, Donnell ET, Yu Z, Li L.","Accid Anal Prev. 2018 Dec;121:43-52. doi: 10.1016/j.aap.2018.08.029. Epub 2018 Sep 8.","Gayah VV","Accid Anal Prev","2018","2018/09/12","","","10.1016/j.aap.2018.08.029"
"28939098","Structural equations modelling of drivers' speed selection using environmental, driver, and risk factors","Sadia R, Bekhor S, Polus A.","Accid Anal Prev. 2018 Jul;116:21-29. doi: 10.1016/j.aap.2017.08.034. Epub 2017 Sep 20.","Sadia R","Accid Anal Prev","2018","2017/09/24","","","10.1016/j.aap.2017.08.034"
