Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Robust Vehicle Speed Estimation Based on Vision Sensor Using YOLOv5 and DeepSORT","Intelligent Computing and Optimization","","","","10.1007/978-3-031-36246-0_4","Dea Angelia KamilWahyonoAgus Harjoko","2023","http://link.springer.com/chapter/10.1007/978-3-031-36246-0_4","Chapter"
"Impact of the decision-making environment on policy responses to road worker fatality in Manitoba and Saskatchewan","Canadian Journal of Public Health","","108","5 - 6","10.17269/CJPH.108.6231","Curt J. Pankratz PhD","2017","http://link.springer.com/article/10.17269/CJPH.108.6231","Article"
"Intelligent Computing and Optimization","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-36246-0","Pandian VasantMohammad Shamsul ArefinVladimir PanchenkoJ. Joshua ThomasElias MunapoGerhard-Wilhelm WeberRoman Rodriguez-Aguilar","2023","http://link.springer.com/book/10.1007/978-3-031-36246-0","Book"
"How automated speed enforcement may reduce travel time variability and result in travel time savings: The case study of the loop 101 speed enforcement program in Scottsdale, Arizona","KSCE Journal of Civil Engineering","","15","1","10.1007/s12205-011-0868-7","Kangwon ShinSimon P. WashingtonKeechoo Choi","2011","http://link.springer.com/article/10.1007/s12205-011-0868-7","Article"
"Vision Zero on Federal Level in Canada","The Vision Zero Handbook","","","","10.1007/978-3-030-23176-7_18-1","Pamela Fuselli","2022","http://link.springer.com/referenceworkentry/10.1007/978-3-030-23176-7_18-1","ReferenceWorkEntry"
"The Vision Zero Handbook","","","","","10.1007/978-3-030-76505-7","Karin Edvardsson BjörnbergSven Ove HanssonMatts-Åke BelinClaes Tingvall","2023","http://link.springer.com/referencework/10.1007/978-3-030-76505-7","ReferenceWork"
"Vision Zero on Federal Level in Canada","The Vision Zero Handbook","","","","10.1007/978-3-030-76505-7_18","Pamela Fuselli","2023","http://link.springer.com/referenceworkentry/10.1007/978-3-030-76505-7_18","ReferenceWorkEntry"
"Improving road safety and residential quality of life","Applied Health Economics and Health Policy","","3","2","10.2165/00148365-200403020-00003","Roy E. LuckeRichard A. RaubThomas E. Thunder","2004","http://link.springer.com/article/10.2165/00148365-200403020-00003","Article"
"A Novel In-flight Alignment Algorithm for Airborne Strapdown INS with Assistant of Doppler Radar","Proceedings of the Second International Conference on Mechatronics and Automatic Control","","","","10.1007/978-3-319-13707-0_117","Shuang PanXu HanNie Yongfang","2015","http://link.springer.com/chapter/10.1007/978-3-319-13707-0_117","Chapter"
"Safe Operation Guidelines for Electronic Toll Collection Systems: A Case Study in Korea","International Journal of Civil Engineering","","16","3","10.1007/s40999-016-0129-8","Younshik ChungYoon-Hyuk ChoiByoung-Jo Yoon","2018","http://link.springer.com/article/10.1007/s40999-016-0129-8","Article"
"Slipstream Experiment Setup","The Aerodynamics of a Container Freight Train","","","","10.1007/978-3-319-33279-6_2","David Soper","2016","http://link.springer.com/chapter/10.1007/978-3-319-33279-6_2","Chapter"
"Development of Speed Management Measures at Uncontrolled Intersection; Case Study of Hyderabad, India","Proceedings of the Fifth International Conference of Transportation Research Group of India","","","","10.1007/978-981-16-8259-9_21","Adarsh Raj SrivastavaAgnivesh PaniBandhan Bandhu MajumdarPrasanta Kumar Sahu","2022","http://link.springer.com/chapter/10.1007/978-981-16-8259-9_21","Chapter"
"A Comparative Study on the Behaviour of Motorcyclists on Exclusive Motorcycle Lane at Merging Section Under Different Configuration of Road Marking","InCIEC 2014","","","","10.1007/978-981-287-290-6_107","Muhammad Hazmi Bin IliasMuhammad Akram Adnan","2015","http://link.springer.com/chapter/10.1007/978-981-287-290-6_107","Chapter"
"Proceedings of the Fifth International Conference of Transportation Research Group of India","Lecture Notes in Civil Engineering","","","","10.1007/978-981-16-8259-9","Assoc. Prof. Akhilesh Kumar MauryaProf. Bhargab MaitraProf. Rajat RastogiAnimesh Das","2022","http://link.springer.com/book/10.1007/978-981-16-8259-9","Book"
"Kinematic and Kinetic Comparisons between Two Different Strides on Baseball Pitching for Taiwan College Elite Pitchers","6th World Congress of Biomechanics (WCB 2010). August 1-6, 2010 Singapore","","","","10.1007/978-3-642-14515-5_54","Shu-Wei ChenWen-Tzu TangJung-Tang KungTsung-Ying Hung","2010","http://link.springer.com/chapter/10.1007/978-3-642-14515-5_54","Chapter"
