"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A traffic speed enforcement system for high speed environment based on Dedicated Short-Range Communications (DSRC) technology","Kuan-Lin Chiu; C. -C. Lin; S. D. Gupta; Ching-Yao Chan","ICT Design & Validation for Vehicle Dep., Industrial Technology Research Institute (ITRI), Taiwan, R.O.C.; ICT Design & Validation for Vehicle Dep., Industrial Technology Research Institute (ITRI), Taiwan, R.O.C.; California PATH, University of California at Berkeley; California PATH, University of California at Berkeley","16th International IEEE Conference on Intelligent Transportation Systems (ITSC 2013)","30 Jan 2014","2013","","","1292","1297","The IEEE 1609 and 802.11p protocol family (also known as WAVE/DSRC or DSRC network) developed by IEEE are key wireless technologies for time-critical safety message broadcast in Vehicular Ad Hoc Networks (VANETs). The WAVE/DSRC network removes the layer-2 association procedure and thus greatly differs from traditional WiFi technologies. With this capability, critical information can be sent within a very short period, making it suitable for realizing Vehicle-to-Vehicle (V2V) safety applications and Roadside-to-Vehicle (R2V) Intelligent Transportation System (ITS) applications. In a recent project, the WAVE/DSRC technology has been studied for the use of speed enforcement system. This paper presents a case study of integrating the state-of-the-art WAVE/DSRC technology into a new-type of speed enforcement system called the Augmented Speed Enforcement (aSE) system. The design, the architecture, and the details of field tests in Los Banos, California, will be discussed. In addition, experimental results regarding the DSRC and 3G radio performance in the field will be analyzed in this paper.","2153-0017","978-1-4799-2914-6","10.1109/ITSC.2013.6728409","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6728409","DSRC;IEEE 802.11p;Speed Enforcement;Speed Camera","Environmental management;Global Positioning System;Cameras;Licenses;Servers","","","","15","IEEE","30 Jan 2014","","","IEEE","IEEE Conferences"
"Scheduling resources in a mobile photo enforcement program","Y. Li; A. Kim; K. El-Basyouny","Department of Civil and Environmental Engineering, University of Alberta Edmonton, Alberta, Canada; Department of Civil and Environmental Engineering, University of Alberta Edmonton, Alberta, Canada; Department of Civil and Environmental Engineering, University of Alberta Edmonton, Alberta, Canada","2017 4th International Conference on Transportation Information and Safety (ICTIS)","21 Sep 2017","2017","","","645","652","This paper presents a model for scheduling resources in a mobile photo enforcement (MPE) program. An MPE program deploys operators driving vehicles equipped with radar and photo equipment to roadway locations where speeding and collision problems are significant. We developed a binary integer linear programming model to allocate MPE shifts over the course of a month to selected enforcement locations. These locations are pre-determined from a set of city neighborhoods chosen for enforcement through a prior multi-objective programming step. A major feature of the scheduling model is to observe the time halo effects of enforcement; our optimization model minimizes visits to an enforcement location over consecutive shifts. The model was applied to data obtained from the currently operating MPE program in Edmonton, Canada. Based on the resource allocation in neighborhoods determined in the previous stage, this scheduling model produces a scheduling plan that allocates resources to individual enforcement sites within each city neighborhood during a month. The purpose of this scheduling model, in combination with the first stage neighborhood allocation model, is to provide enforcement agencies with a tool to systematically and transparently assign limited resources in an efficient manner, providing greater efficacy in achieving program-level objectives such as reducing speeding, reducing collisions, and providing enforcement presence in areas with many vulnerable pedestrians (i.e. school zones).","","978-1-5386-0437-3","10.1109/ICTIS.2017.8047835","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8047835","resource scheduling;mobile photo enforcement;integer linear programming;time halo effect","Resource management;Schedules;Urban areas;Optimization;Mobile communication;Time-frequency analysis","","1","","13","IEEE","21 Sep 2017","","","IEEE","IEEE Conferences"
"Vehicle Speed Enforcement Using Absolute Speed Handheld Lidar","M. Mandava; R. S. Gammenthaler; S. F. Hocker","Applied Concepts, Inc., Richardson, TX, USA; Applied Concepts, Inc., Richardson, TX, USA; Applied Concepts, Inc., Richardson, TX, USA","2018 IEEE 88th Vehicular Technology Conference (VTC-Fall)","14 Apr 2019","2018","","","1","5","Commonly used handheld Lidars for traffic speed enforcement measure relative speed and not absolute speed. The underreporting of the actual vehicle speeds, called the cosine effect, provides offending drivers an inordinate amount of benefit of doubt, thereby increasing the propensity of aggressive drivers aware of this limitation to push farther above the speed limit. This paper presents two approaches to augment these devices by calculating the absolute speed. The manual mode approach uses an additional intermediate measurement and geometric calculation, whereas the automatic mode makes use of MEMS sensor(s) to calculate the tangential velocity component as an intermediate step. The goal is to provide traffic speed enforcers tools that ultimately lead to safer roadways. This can be applied to other motorized transport scenarios as well.","2577-2465","978-1-5386-6358-5","10.1109/VTCFall.2018.8690893","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8690893","Lidar;speed measurement;speed enforcement;cosine effect;MEMS;laser;time-of-flight","Laser radar;Velocity measurement;Measurement by laser beam;Meters;Roads;Linear regression","","3","","14","IEEE","14 Apr 2019","","","IEEE","IEEE Conferences"
"A New Calibration Method for 3D Tracking Radar Doppler Velocimeter for Traffic Speed Enforcement","L. Du; Q. Sun; J. Bai","Division of Mechanics and Acoustics, National Institute of Metrology, China, Beijing, China; Division of Mechanics and Acoustics, National Institute of Metrology, China, Beijing, China; Division of Mechanics and Acoustics, National Institute of Metrology, China, Beijing, China","2019 International Radar Conference (RADAR)","27 Apr 2020","2019","","","1","4","Based on the working principle of 3D tracking radar Doppler velocimeter for traffic speed enforcement, a new calibration method based on the Doppler shift simulation method is proposed in this paper. A new moving-target speed simulator is specifically designed and realized to verify the proposed new calibration method. The simulated speed range of the simulator is up to (10~250) km/h and the maximum permissible error is ±0.1 km/h, which can satisfy the calibration requirements of 3D tracking radar Doppler velocimeter. The calibration results of a selected sample validate the effectiveness and feasibility of the new calibration method.","2640-7736","978-1-7281-2660-9","10.1109/RADAR41533.2019.171392","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9078985","calibration;radar Doppler velocimeter;traffic speed enforcement;3D tracking radar;Doppler shift simulation","","","","","5","IEEE","27 Apr 2020","","","IEEE","IEEE Conferences"
"Real-time Vehicle Speed Enforcement System","K. Ammar; A. Al-Emami; A. Baher","Ajman University, UAE; Cargo.oney, Germany; Etihad Airways, UAE","2021 10th Mediterranean Conference on Embedded Computing (MECO)","1 Jul 2021","2021","","","1","5","Traffic injuries and deaths are important road traffic issues worldwide, road accidents are a major reason of death, killing around 1.24 million people yearly and leaving 20–50 million be distressed with injuries, traffic accidents are still considered the prime factor in cause of mortality between 5–14 years old children and among 15–29 years old young adults [1]. These numbers could have been reduced if the vehicles had been travelling at more appropriate speed. The most commonly reported factors linked to the severity of accidents and deaths are due to reckless speeding or drivers may drive within the speed limits, but they are not aware of the sudden changes on road condition that could affect their safety and the safety of other road users. In response to the needed speed limit enforcement to save lives, health, and economy, this work presents a system that helps to minimize the speed-related accidents. The system is remotely operated and instantly preventing vehicles from speeding. The traffic management authorities can enforce the optimum safe speed limit whenever and wherever necessary in real time while the vehicles are running on the roads.","2637-9511","978-1-6654-3912-1","10.1109/MECO52532.2021.9460297","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9460297","Speed enforcement;speed limiter;traffic management;vehicle speed","Road accidents;Roads;Prototypes;Switches;Tools;Real-time systems;Software","","","","8","IEEE","1 Jul 2021","","","IEEE","IEEE Conferences"
"The networked photo-enforcement and traffic monitoring system Unicam","O. Fucik; P. Zemcik; P. Tupec; L. Crha; A. Herout","Faculty of Information Technology, Brno University of Technology, Brno, Czech Republic; Faculty of Information Technology, Brno University of Technology, Brno, Czech Republic; Faculty of Information Technology, Brno University of Technology, Brno, Czech Republic; Faculty of Information Technology, Brno University of Technology, Brno, Czech Republic; Faculty of Information Technology, Brno University of Technology, Brno, Czech Republic","Proceedings. 11th IEEE International Conference and Workshop on the Engineering of Computer-Based Systems, 2004.","26 Jul 2004","2004","","","423","428","The presented system (Unicam) offers a complex state-of-the-art machine vision equipment and technology to provide automated video image vehicle detection devices dedicated for traffic monitoring applications. The system provides real time video image capturing, digital signal processing, compression, storage, and transmission over communication interfaces. It uses proprietary artificial intelligence algorithms and special image processing modules to achieve highly accurate vehicles detection. According to the users' needs, the system can be used for detection of red-light violations at road intersections, speed measurement, traffic data collection, video recording, or surveillance. Yet another possible application of the system is surveys based on license plate recognition for transportation engineers, stolen car searching, or toll-tag data collection. The system functionality has been improved by coupling camera sensors with specialized real-time processing units and adding networking capability. Implementation of video detection algorithms, hardware design units, and networking features are also discussed.","","0-7695-2125-8","10.1109/ECBS.2004.1316727","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1316727","","Telecommunication traffic;Vehicle detection;Video compression;Real time systems;Image storage;Machine vision;Computerized monitoring;Condition monitoring;Digital signal processing;Image coding","","5","","2","IEEE","26 Jul 2004","","","IEEE","IEEE Conferences"
"Data Enforced: An Exploratory Impact Analysis of Automated Speed Enforcement in the District of Columbia","A. Abdelhalim; L. Bailey; E. Dalphy; K. Raboy","Department of Civil and Environmental Engineering, Virginia Polytechnic Institute and State University, Blacksburg, Virginia, USA; ITS Program Manager District Department of Transportation, Vision Zero Initiative, Washington, District of Columbia, USA; ITS Program Manager District Department of Transportation, Vision Zero Initiative, Washington, District of Columbia, USA; ITS Program Manager District Department of Transportation, Vision Zero Initiative, Washington, District of Columbia, USA","2021 IEEE International Intelligent Transportation Systems Conference (ITSC)","25 Oct 2021","2021","","","2478","2483","In 2015, the District of Columbia framed a Vision Zero mission and action plan, with a target of achieving zero traffic fatalities by 2024. This study examines the impacts of Automated Speed Enforcement (ASE) and its role in achieving the goals of Vision Zero. Independent datasets containing detailed information about traffic crashes, ASE camera locations and citation records, and driving speeds across the District's streets were collected, combined, and analyzed to identify patterns and trends in crashes, speed limit violations, and speeding behavior before and after the ASE camera installation. The results of this exploratory analysis confirm the safety benefits of ASE systems in Washington, D.C. The study also provides a blueprint for the different means of evaluating the short-term impact of ASE systems using different data sources which can aid practitioners in better evaluating existing systems and support the decision making process regarding future installations.","","978-1-7281-9142-3","10.1109/ITSC48978.2021.9565046","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9565046","","Conferences;Decision making;Cameras;Market research;Computer crashes;Safety;Intelligent transportation systems","","","","9","IEEE","25 Oct 2021","","","IEEE","IEEE Conferences"
"The effect of average speed enforcement on driver behaviour","K. Charlesworth","Speed Check Services, UK","IET Road Transport Information and Control - RTIC 2008 and ITS United Kingdom Members' Conference","15 Jul 2008","2008","","","1","5","This paper discusses the complex issue of driver behaviour and how this can be affected by speed enforcement. Comparisons have been drawn between spot speed and average speed enforcement, their effect on traffic flow and compliance, as well as the knock-on-effect this has on safety for not only drivers but also roadworkers in temporary schemes.","0537-9989","978-0-86341-920-1","10.1049/ic.2008.0794","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4562203","Average speed;Enforcement;Behaviour;SPECS;Compliance","","","","","","","15 Jul 2008","","","IET","IET Conferences"
"Reductions in fuel consumption and CO2 emissions with specs average speed enforcement","T. Thornton","Speed Check Services, UK","IET Road Transport Information and Control Conference and the ITS United Kingdom Members' Conference (RTIC 2010) - Better transport through technology","16 Aug 2010","2010","","","1","5","Data was gathered on passenger car fuel consumption at various speeds, and compared with traffic speed profiles for unenforced motorways and motorways enforced with SPECS average speed cameras to determine the potential fuel savings and CO2 reductions that may be achieved by enforcing the national speed limit on UK motorways.","","978-1-84919-242-2","10.1049/cp.2010.0375","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5549203","CO2 Emissions;Average Speed Enforcement","","","","","","","16 Aug 2010","","","IET","IET Conferences"
"A detailed review of the A614 average speed enforcement system","G. Collins; S. Hurt","Director, Vysionics ITS Ltd, UK; Casualty Reduction Manager, Nottinghamshire County Council, UK","Road Transport Information and Control Conference 2014 (RTIC 2014)","13 Apr 2015","2014","","","1","5","A SPECS average speed camera scheme installed in 2012 is delivering real benefits to the A614 in Nottinghamshire. This paper examines in detail the changes that have been seen on that road, with a review of the factors that have resulted in the roads improved safety. Headline results: since installation, there have been no fatalities; the KSI figure has dropped by 54%; through casualty savings the scheme has ‘paid’ for itself in six months of operation, covering both installation and five years of operation.","","978-1-84919-919-3","10.1049/cp.2014.0815","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7083436","Average Speed;Enforcement;Casualty Reduction;Driver Behaviour","","","","","","","13 Apr 2015","","","IET","IET Conferences"
